epoch,loss,L_cp,L_shock,L_lb,L_fric,lr,val_R2_Cp,val_R2_Cfx,val_R2_Cfy,val_R2_Cfz,is_best
1,0.4761,0.0823,0.1405,0.4975,0.1282,0.000333,,,,,
2,0.4599,0.0825,0.1384,1.1495,0.125,0.000667,0.9511,0.8897,0.8643,0.8886,
3,0.4605,0.0865,0.1404,1.1937,0.124,0.001,,,,,
4,0.4484,0.0794,0.1407,1.3022,0.1227,0.001,0.9448,0.8911,0.8691,0.8874,
5,0.4428,0.0791,0.1334,1.3117,0.1212,0.001,,,,,
6,0.4392,0.0794,0.131,1.3327,0.12,0.000999,0.9507,0.8957,0.8712,0.8886,
7,0.4336,0.0755,0.1321,1.3371,0.1194,0.000999,,,,,
8,0.4306,0.0751,0.1296,1.3481,0.1187,0.000998,0.9538,0.8968,0.8754,0.8923,
9,0.4287,0.076,0.1273,1.3523,0.1178,0.000998,,,,,
10,0.4246,0.0754,0.127,1.3509,0.1167,0.000997,0.9499,0.8967,0.8716,0.8903,
11,0.4219,0.0736,0.1279,1.363,0.1164,0.000996,,,,,
12,0.4193,0.0722,0.1253,1.3649,0.1161,0.000995,0.9514,0.8983,0.8745,0.8911,
13,0.4158,0.071,0.1255,1.3657,0.1153,0.000994,,,,,
14,0.4146,0.0716,0.1236,1.3686,0.1148,0.000992,0.9546,0.8987,0.8758,0.89,
15,0.413,0.0715,0.1237,1.3722,0.1143,0.000991,,,,,
16,0.4084,0.0686,0.1213,1.3756,0.1138,0.000989,0.9568,0.8962,0.8686,0.8874,
17,0.4105,0.0705,0.1241,1.3735,0.1138,0.000988,,,,,
18,0.406,0.0687,0.1213,1.3754,0.113,0.000986,0.9555,0.9004,0.88,0.8944,
19,0.4033,0.0673,0.1193,1.3766,0.1126,0.000984,,,,,
20,0.402,0.0679,0.1177,1.3782,0.1121,0.000982,0.9565,0.8965,0.8755,0.8887,
21,0.3995,0.067,0.1174,1.378,0.1115,0.00098,,,,,
22,0.3984,0.0664,0.1193,1.3794,0.1113,0.000977,0.9552,0.9004,0.8725,0.8865,
23,0.3986,0.0671,0.121,1.376,0.1111,0.000975,,,,,
24,0.3952,0.0659,0.1158,1.3766,0.1105,0.000972,0.9557,0.8997,0.8779,0.8935,
25,0.3932,0.065,0.117,1.3801,0.1101,0.00097,,,,,
26,0.391,0.0646,0.1141,1.3802,0.1096,0.000967,0.9584,0.9019,0.8773,0.8914,
27,0.3925,0.0661,0.116,1.3784,0.1095,0.000964,,,,,
28,0.3881,0.0639,0.1136,1.3802,0.1089,0.000961,0.9567,0.903,0.8848,0.8981,
29,0.3878,0.063,0.1133,1.3797,0.1091,0.000958,,,,,
30,0.386,0.0631,0.1124,1.3806,0.1085,0.000954,0.9573,0.9041,0.8849,0.8966,
31,0.3862,0.0644,0.1118,1.3799,0.1081,0.000951,,,,,
32,0.3833,0.0629,0.1113,1.3795,0.1077,0.000948,0.9577,0.9025,0.8796,0.8934,
33,0.3825,0.0618,0.1114,1.3801,0.1078,0.000944,,,,,
34,0.3802,0.0619,0.1109,1.3806,0.107,0.00094,0.9547,0.9049,0.885,0.8976,
35,0.3801,0.0621,0.111,1.3787,0.1069,0.000936,,,,,
36,0.3808,0.0627,0.1117,1.3801,0.1069,0.000932,0.958,0.9067,0.8863,0.8984,
37,0.3777,0.0609,0.1107,1.381,0.1065,0.000928,,,,,
38,0.3772,0.0611,0.1093,1.3806,0.1063,0.000924,0.9588,0.9062,0.8873,0.8983,
39,0.3747,0.0605,0.1087,1.3804,0.1057,0.00092,,,,,
40,0.3736,0.0595,0.109,1.38,0.1057,0.000916,0.9589,0.9075,0.8902,0.9006,
41,0.3746,0.0612,0.109,1.379,0.1054,0.000911,,,,,
42,0.3705,0.0593,0.1082,1.3808,0.1047,0.000906,0.9591,0.907,0.8887,0.9008,
43,0.3693,0.0588,0.1074,1.3811,0.1045,0.000902,,,,,
44,0.3693,0.0591,0.1069,1.3811,0.1045,0.000897,0.9596,0.9076,0.8831,0.8969,
45,0.3676,0.0585,0.1073,1.3798,0.1041,0.000892,,,,,
46,0.3684,0.0601,0.1056,1.3797,0.1039,0.000887,0.9576,0.9087,0.8908,0.9003,
47,0.3647,0.0579,0.1059,1.3809,0.1033,0.000882,,,,,
48,0.3644,0.0582,0.1051,1.38,0.1031,0.000877,0.9592,0.9057,0.886,0.8966,
49,0.3632,0.0574,0.1048,1.3808,0.1031,0.000872,,,,,
50,0.3621,0.0571,0.1038,1.381,0.1028,0.000866,0.9601,0.9112,0.891,0.9017,
51,0.363,0.0576,0.1047,1.3797,0.1029,0.000861,,,,,
52,0.359,0.0562,0.1041,1.3808,0.1021,0.000855,0.961,0.9113,0.8921,0.903,
53,0.3603,0.0576,0.1036,1.3797,0.1021,0.000849,,,,,
54,0.3589,0.0563,0.1048,1.3807,0.102,0.000844,0.9608,0.9103,0.8915,0.903,
55,0.3582,0.0572,0.1023,1.38,0.1015,0.000838,,,,,
56,0.3563,0.056,0.1027,1.3803,0.1013,0.000832,0.9613,0.9104,0.8917,0.9031,
57,0.3559,0.056,0.1025,1.3805,0.1012,0.000826,,,,,
58,0.3537,0.0547,0.1017,1.3803,0.1009,0.00082,0.9596,0.9095,0.8935,0.9022,
59,0.3545,0.0557,0.1017,1.3801,0.1008,0.000814,,,,,
60,0.3532,0.056,0.1017,1.3797,0.1003,0.000807,0.9607,0.9105,0.8922,0.9029,
61,0.3532,0.0553,0.1018,1.3796,0.1005,0.000801,,,,,
62,0.3508,0.0548,0.1007,1.3798,0.0999,0.000795,0.959,0.9097,0.8941,0.9021,
63,0.3521,0.0547,0.1006,1.3799,0.1004,0.000788,,,,,
64,0.3491,0.0545,0.0999,1.3797,0.0995,0.000782,0.9608,0.9111,0.892,0.9016,
65,0.35,0.055,0.1004,1.3793,0.0996,0.000775,,,,,
66,0.3484,0.0547,0.0993,1.3803,0.0992,0.000768,0.961,0.9115,0.8928,0.9019,
67,0.3464,0.0536,0.0999,1.3795,0.0989,0.000762,,,,,
68,0.3464,0.0533,0.0992,1.3795,0.099,0.000755,0.9611,0.9125,0.8951,0.9035,
69,0.3454,0.0537,0.0985,1.3795,0.0986,0.000748,,,,,
70,0.3437,0.0528,0.1,1.3795,0.0982,0.000741,0.9608,0.9123,0.8954,0.9036,
71,0.3441,0.0533,0.098,1.38,0.0983,0.000734,,,,,
72,0.3426,0.0527,0.0975,1.3791,0.098,0.000727,0.9621,0.9131,0.8943,0.903,
73,0.3429,0.0529,0.0973,1.3794,0.098,0.00072,,,,,
74,0.3425,0.0534,0.0977,1.3794,0.0977,0.000713,0.9606,0.9142,0.8954,0.903,
75,0.3409,0.0528,0.098,1.3793,0.0974,0.000705,,,,,
76,0.3402,0.0526,0.0969,1.3794,0.0972,0.000698,0.9614,0.9127,0.8957,0.9048,
